CNPJ,RAZAO_SOCIAL,UF,ANO,TRIMESTRE,VALOR
00200720000109,ASSOCIACAO POLICIAL DE ASSISTENCIA A SAUDE DE PRESIDENTE PRUDENTE (APAS),SP,2025,1,158681870.24
00200720000109,ASSOCIACAO POLICIAL DE ASSISTENCIA A SAUDE DE PRESIDENTE PRUDENTE (APAS),SP,2025,2,234908293.6
00200720000109,ASSOCIACAO POLICIAL DE ASSISTENCIA A SAUDE DE PRESIDENTE PRUDENTE (APAS),SP,2025,3,310645247.36
00262338000111,UNIMED DE ADAMANTINA-COOPERATIVA DE TRABALHO MADICO,SP,2025,1,373299665.92
00262338000111,UNIMED DE ADAMANTINA-COOPERATIVA DE TRABALHO MADICO,SP,2025,2,550117582.4
00262338000111,UNIMED DE ADAMANTINA-COOPERATIVA DE TRABALHO MADICO,SP,2025,3,739320608.48
00299149000113,ASSOCIAAAO DOS FUNCIONARIOS DO FISCO DO ESTADO DE GOIAS,GO,2025,1,615524786.24
00299149000113,ASSOCIAAAO DOS FUNCIONARIOS DO FISCO DO ESTADO DE GOIAS,GO,2025,2,883853538.4
00299149000113,ASSOCIAAAO DOS FUNCIONARIOS DO FISCO DO ESTADO DE GOIAS,GO,2025,3,1204673987.68
00304148000110,FUNDAAAO DE SAADE ITAIGUAPY,PR,2025,1,7094838910.56
00304148000110,FUNDAAAO DE SAADE ITAIGUAPY,PR,2025,2,8792850141.4
00304148000110,FUNDAAAO DE SAADE ITAIGUAPY,PR,2025,3,10094890838.14
00307714000147,ASSOCIAAAO VALEPARAIBANA DE ASSISTANCIA MADICA POLICIAL,SP,2025,1,171680035.84000003
00307714000147,ASSOCIAAAO VALEPARAIBANA DE ASSISTANCIA MADICA POLICIAL,SP,2025,2,281640631.84
00307714000147,ASSOCIAAAO VALEPARAIBANA DE ASSISTANCIA MADICA POLICIAL,SP,2025,3,386101205.2
00338763000147,PLENA SAADE S.A.,SP,2025,1,2414628096.64
00338763000147,PLENA SAADE S.A.,SP,2025,2,4003815026.7200003
00338763000147,PLENA SAADE S.A.,SP,2025,3,5598583289.28
00342481000113,UNIMED CALDAS NOVAS - COOPERATIVA DE TRABALHO MEDICO,GO,2025,1,244273846.88
00342481000113,UNIMED CALDAS NOVAS - COOPERATIVA DE TRABALHO MEDICO,GO,2025,2,385984321.6
00342481000113,UNIMED CALDAS NOVAS - COOPERATIVA DE TRABALHO MEDICO,GO,2025,3,546430554.5600001
00361325000108,HUMANA SAADE NORDESTE LTDA.,PI,2025,1,27162303555.36
00361325000108,HUMANA SAADE NORDESTE LTDA.,PI,2025,2,32063905731.84
00361325000108,HUMANA SAADE NORDESTE LTDA.,PI,2025,3,37400054700.32
00366982000130,CENTRAL REGIONAL DAS COOPERATIVAS MADICAS - UNIMED CERRADO,GO,2025,1,1333878635.52
00366982000130,CENTRAL REGIONAL DAS COOPERATIVAS MADICAS - UNIMED CERRADO,GO,2025,2,1937687072.0
00366982000130,CENTRAL REGIONAL DAS COOPERATIVAS MADICAS - UNIMED CERRADO,GO,2025,3,2636423893.7599998
00368318000120,UNIMED MARQUES DE VALENAA COOPERATIVA DE TRABALHO MADICO LTDA.,RJ,2025,1,1074569944.8
00368318000120,UNIMED MARQUES DE VALENAA COOPERATIVA DE TRABALHO MADICO LTDA.,RJ,2025,2,1399152366.56
00368318000120,UNIMED MARQUES DE VALENAA COOPERATIVA DE TRABALHO MADICO LTDA.,RJ,2025,3,1659648958.24
00381694000154,UNIMED ALTO VALE - COOPERATIVA DE TRABALHO MADICO,SC,2025,1,1096755849.92
00381694000154,UNIMED ALTO VALE - COOPERATIVA DE TRABALHO MADICO,SC,2025,2,1590489445.28
00381694000154,UNIMED ALTO VALE - COOPERATIVA DE TRABALHO MADICO,SC,2025,3,2072651251.04
00395266000180,MAIS SAADE PLANO DE SAADE LTDA,GO,2025,1,116665092.16
00395266000180,MAIS SAADE PLANO DE SAADE LTDA,GO,2025,2,334211440.24
00395266000180,MAIS SAADE PLANO DE SAADE LTDA,GO,2025,3,552077396.48
00444803000135,ASSOCIAAAO POLICIAL DE ASSISTANCIA A SAADE,SP,2025,1,328718952.32
00444803000135,ASSOCIAAAO POLICIAL DE ASSISTANCIA A SAADE,SP,2025,2,386684157.44
00444803000135,ASSOCIAAAO POLICIAL DE ASSISTANCIA A SAADE,SP,2025,3,459216692.96
00453863000114,MED-TOUR ADMINISTRADORA DE BENEFACIOS E EMPREENDIMENTOS LTDA.,SP,2025,1,1341534826.4
00453863000114,MED-TOUR ADMINISTRADORA DE BENEFACIOS E EMPREENDIMENTOS LTDA.,SP,2025,2,2446990249.28
00453863000114,MED-TOUR ADMINISTRADORA DE BENEFACIOS E EMPREENDIMENTOS LTDA.,SP,2025,3,3575289070.64
00461479000163,PREVENT SENIOR PRIVATE OPERADORA DE SAADE LTDA,SP,2025,1,82315496637.28
00461479000163,PREVENT SENIOR PRIVATE OPERADORA DE SAADE LTDA,SP,2025,2,118949237096.64
00461479000163,PREVENT SENIOR PRIVATE OPERADORA DE SAADE LTDA,SP,2025,3,150885519761.44
00494870000164,UNIMED DE IBITINGA COOPERATIVA DE TRABALHO MADICO,SP,2025,1,700032301.28
00494870000164,UNIMED DE IBITINGA COOPERATIVA DE TRABALHO MADICO,SP,2025,2,1049948435.52
00494870000164,UNIMED DE IBITINGA COOPERATIVA DE TRABALHO MADICO,SP,2025,3,1426407578.8799999
00531736000196,UNIODONTO JACAREA COOPERATIVA ODONTOLAGICA,SP,2025,1,54932727.36
00531736000196,UNIODONTO JACAREA COOPERATIVA ODONTOLAGICA,SP,2025,2,92686583.04
00531736000196,UNIODONTO JACAREA COOPERATIVA ODONTOLAGICA,SP,2025,3,128346753.76
00532888000103,UNIMED REGIAO DA PRODUAAO/RS - COOPERATIVA DE ASSISTANCIA A SAADE LTDA,RS,2025,1,590568832.16
00532888000103,UNIMED REGIAO DA PRODUAAO/RS - COOPERATIVA DE ASSISTANCIA A SAADE LTDA,RS,2025,2,779899294.4
00532888000103,UNIMED REGIAO DA PRODUAAO/RS - COOPERATIVA DE ASSISTANCIA A SAADE LTDA,RS,2025,3,962172475.36
00552181000169,UNIMED DE MOCOCA COOPERATIVA DE TRAB. MADICO,SP,2025,1,352688580.8
00552181000169,UNIMED DE MOCOCA COOPERATIVA DE TRAB. MADICO,SP,2025,2,574022720.24
00552181000169,UNIMED DE MOCOCA COOPERATIVA DE TRAB. MADICO,SP,2025,3,779976298.16
00571628000147,DENTAL PLUS CONVANIO ODONTOLAGICO LTDA.,SP,2025,1,54929574.24
00571628000147,DENTAL PLUS CONVANIO ODONTOLAGICO LTDA.,SP,2025,2,92937717.12
00571628000147,DENTAL PLUS CONVANIO ODONTOLAGICO LTDA.,SP,2025,3,133468319.84
00580481000151,FUNDACAO CAPITAL PREVIDENCIA E SAUDE - CAPITAL PREV,ES,2025,2,420604404.8
00580481000151,FUNDACAO CAPITAL PREVIDENCIA E SAUDE - CAPITAL PREV,ES,2025,3,599841661.28
00628107000189,FUNDAAAO ASSISTENCIAL DOS SERVIDORES DO MINISTARIO DA FAZENDA,DF,2025,1,8939591894.72
00628107000189,FUNDAAAO ASSISTENCIAL DOS SERVIDORES DO MINISTARIO DA FAZENDA,DF,2025,2,14823486472.48
00628107000189,FUNDAAAO ASSISTENCIAL DOS SERVIDORES DO MINISTARIO DA FAZENDA,DF,2025,3,21286216442.24
00636975000100,SAO DOMINGOS SAADE- ASSISTANCIA MADICA  LTDA,SP,2025,1,418503911.84
00636975000100,SAO DOMINGOS SAADE- ASSISTANCIA MADICA  LTDA,SP,2025,2,737737320.96
00636975000100,SAO DOMINGOS SAADE- ASSISTANCIA MADICA  LTDA,SP,2025,3,1059757392.48
00642842000147,ASSOCIAAAO POLICIAL DE ASSISTANCIA A SAADE - VALE DO RIBEIRA,SP,2025,1,42274750.08
00642842000147,ASSOCIAAAO POLICIAL DE ASSISTANCIA A SAADE - VALE DO RIBEIRA,SP,2025,2,61612789.92
00642842000147,ASSOCIAAAO POLICIAL DE ASSISTANCIA A SAADE - VALE DO RIBEIRA,SP,2025,3,80715972.32
00648506000101,ASSOCIAAAO POLICIAL DE ASSISTANCIA A SAADE DE PRESIDENTE VENCESLAU,SP,2025,1,71563081.12
00648506000101,ASSOCIAAAO POLICIAL DE ASSISTANCIA A SAADE DE PRESIDENTE VENCESLAU,SP,2025,2,99865054.4
00648506000101,ASSOCIAAAO POLICIAL DE ASSISTANCIA A SAADE DE PRESIDENTE VENCESLAU,SP,2025,3,131062756.0
00660903000107,FUNDAAAO AFFEMG DE ASSISTANCIA E SAADE - FUNDAFFEMG,MG,2025,1,2217071571.36
00660903000107,FUNDAAAO AFFEMG DE ASSISTANCIA E SAADE - FUNDAFFEMG,MG,2025,2,3053961043.84
00660903000107,FUNDAAAO AFFEMG DE ASSISTANCIA E SAADE - FUNDAFFEMG,MG,2025,3,3935296940.0
00665690000106,ASSOCIAAAO POLICIAL DE ASSISTANCIA A SAADE DE DRACENA,SP,2025,1,62500772.32
00665690000106,ASSOCIAAAO POLICIAL DE ASSISTANCIA A SAADE DE DRACENA,SP,2025,2,83615136.16
00665690000106,ASSOCIAAAO POLICIAL DE ASSISTANCIA A SAADE DE DRACENA,SP,2025,3,109674079.84
00668790000188,CAIXA DE ASSISTANCIA SISTEMA SAADE INTEGRAL-SSI SAUDE,RS,2025,1,1778388532.64
00668790000188,CAIXA DE ASSISTANCIA SISTEMA SAADE INTEGRAL-SSI SAUDE,RS,2025,2,2144565518.56
00668790000188,CAIXA DE ASSISTANCIA SISTEMA SAADE INTEGRAL-SSI SAUDE,RS,2025,3,2495545993.04
00697509000135,UNIMED CENTRO RONDANIA COOPERATIVA DE TRABALHO MADICO,RO,2025,1,1386918292.8
00697509000135,UNIMED CENTRO RONDANIA COOPERATIVA DE TRABALHO MADICO,RO,2025,2,2553230782.72
00697509000135,UNIMED CENTRO RONDANIA COOPERATIVA DE TRABALHO MADICO,RO,2025,3,3726727356.8
00730439000170,UNIMED PONTAL DO TRIANGULO - COOPERATIVA DE TRABALHO MADICO,MG,2025,1,481631881.28
00730439000170,UNIMED PONTAL DO TRIANGULO - COOPERATIVA DE TRABALHO MADICO,MG,2025,2,729213086.56
00730439000170,UNIMED PONTAL DO TRIANGULO - COOPERATIVA DE TRABALHO MADICO,MG,2025,3,1000473064.64
00747041000146,UNIMED VALE DO CORUMBA COOPERATIVA DE TRABALHO MEDICO,GO,2025,1,315382029.6
00747041000146,UNIMED VALE DO CORUMBA COOPERATIVA DE TRABALHO MEDICO,GO,2025,2,443843403.84
00747041000146,UNIMED VALE DO CORUMBA COOPERATIVA DE TRABALHO MEDICO,GO,2025,3,595146677.6
00763923000103,UNIMED ALTO PARANAIBA COOPERATIVA DE TRABALHO MEDICO,MG,2025,1,43847207.04
00763923000103,UNIMED ALTO PARANAIBA COOPERATIVA DE TRABALHO MEDICO,MG,2025,2,50939410.4
00763923000103,UNIMED ALTO PARANAIBA COOPERATIVA DE TRABALHO MEDICO,MG,2025,3,57337839.68
00773639000100,CENTRO CLANICO GAACHO LTDA,CE,2025,1,10162495883.04
00773639000100,CENTRO CLANICO GAACHO LTDA,CE,2025,2,12558874840.8
00773639000100,CENTRO CLANICO GAACHO LTDA,CE,2025,3,14956016295.36
00826676000139,UNIODONTO DE SERTAOZINHO SP COOPERATIVA ODONTOLOGICA,SP,2025,2,67929864.96000001
00826676000139,UNIODONTO DE SERTAOZINHO SP COOPERATIVA ODONTOLOGICA,SP,2025,3,95869832.96
00840048000108,UNIMED DE PIRASSUNUNGA COOPERATIVA DE TRABALHO MADICO,SP,2025,1,285016266.24
00840048000108,UNIMED DE PIRASSUNUNGA COOPERATIVA DE TRABALHO MADICO,SP,2025,2,545518428.56
00840048000108,UNIMED DE PIRASSUNUNGA COOPERATIVA DE TRABALHO MADICO,SP,2025,3,830390092.48
00841848000143,ASSOCIAAAO POLICIAL DE ASSISTANCIA A SAADE APAS,SP,2025,1,50616251.04
00841848000143,ASSOCIAAAO POLICIAL DE ASSISTANCIA A SAADE APAS,SP,2025,2,82105641.92
00841848000143,ASSOCIAAAO POLICIAL DE ASSISTANCIA A SAADE APAS,SP,2025,3,106640333.92
00846662000187,LIV LINHAS INTELIGENTES DE ATENAAO A VIDA S/A,SP,2025,1,834628093.76
00846662000187,LIV LINHAS INTELIGENTES DE ATENAAO A VIDA S/A,SP,2025,2,1814537437.12
00846662000187,LIV LINHAS INTELIGENTES DE ATENAAO A VIDA S/A,SP,2025,3,2880424459.2
00856424000152,CARE PLUS ODONTOLOGIA ASSISTENCIAL LTDA.,SP,2025,1,450300816.48
00856424000152,CARE PLUS ODONTOLOGIA ASSISTENCIAL LTDA.,SP,2025,2,541389498.08
00856424000152,CARE PLUS ODONTOLOGIA ASSISTENCIAL LTDA.,SP,2025,3,649899538.88
00885918000165,HOSPITAIS E CLANICAS DO PIAUA S/S LTDA,PI,2025,1,1058375150.56
00885918000165,HOSPITAIS E CLANICAS DO PIAUA S/S LTDA,PI,2025,2,1526824416.0
00885918000165,HOSPITAIS E CLANICAS DO PIAUA S/S LTDA,PI,2025,3,2020797451.2
00891689000191,UNIODONTO GOIANIA COOPERATIVA DE CIRURGIAES DENTISTAS,GO,2025,1,305971952.8
00891689000191,UNIODONTO GOIANIA COOPERATIVA DE CIRURGIAES DENTISTAS,GO,2025,2,441843454.72
00891689000191,UNIODONTO GOIANIA COOPERATIVA DE CIRURGIAES DENTISTAS,GO,2025,3,604163741.76
00946953000147,UNIMED TRAS RIOS COOPERATIVA DE TRABALHO MADICO,RJ,2025,1,567837749.12
00946953000147,UNIMED TRAS RIOS COOPERATIVA DE TRABALHO MADICO,RJ,2025,2,964887657.68
00946953000147,UNIMED TRAS RIOS COOPERATIVA DE TRABALHO MADICO,RJ,2025,3,1386650339.68
00950062000164,CENTRO HOSPITALAR ATIBAIA LTDA.,SP,2025,1,713064260.16
00950062000164,CENTRO HOSPITALAR ATIBAIA LTDA.,SP,2025,2,1226241903.84
00950062000164,CENTRO HOSPITALAR ATIBAIA LTDA.,SP,2025,3,1646038944.64
01012474000116,UNIMED PONTE NOVA COOPERATIVA DE TRABALHO MEDICO LTDA,MG,2025,1,195178698.4
01012474000116,UNIMED PONTE NOVA COOPERATIVA DE TRABALHO MEDICO LTDA,MG,2025,2,288346064.15999997
01012474000116,UNIMED PONTE NOVA COOPERATIVA DE TRABALHO MEDICO LTDA,MG,2025,3,377750499.68
01052203000194,CAIXA ASSISTENCIAL UNIVERSITARIA DO RIO DE JANEIRO,RJ,2025,1,165767015.68
01052203000194,CAIXA ASSISTENCIAL UNIVERSITARIA DO RIO DE JANEIRO,RJ,2025,2,239364073.44
01052203000194,CAIXA ASSISTENCIAL UNIVERSITARIA DO RIO DE JANEIRO,RJ,2025,3,308933549.28
01143922000110,UNIMED CACERES COOPERATIVA DE TRABALHO MADICO,MT,2025,1,274860820.0
01143922000110,UNIMED CACERES COOPERATIVA DE TRABALHO MADICO,MT,2025,2,449672615.2
01143922000110,UNIMED CACERES COOPERATIVA DE TRABALHO MADICO,MT,2025,3,602419038.24
01193663000132,UNIMED DE CATALAO COOPERATIVA DE TRABALHO MADICO,GO,2025,1,802101001.76
01193663000132,UNIMED DE CATALAO COOPERATIVA DE TRABALHO MADICO,GO,2025,2,1378656037.76
01193663000132,UNIMED DE CATALAO COOPERATIVA DE TRABALHO MADICO,GO,2025,3,1955138885.28
01356020000162,UNIMED MEIO OESTE CATARINENSE COOPERATIVA DE TRABALHO MADICO,SC,2025,1,2296351549.44
01356020000162,UNIMED MEIO OESTE CATARINENSE COOPERATIVA DE TRABALHO MADICO,SC,2025,2,2719118484.32
01356020000162,UNIMED MEIO OESTE CATARINENSE COOPERATIVA DE TRABALHO MADICO,SC,2025,3,3209022978.08
01367538000100,UNIODONTO MARINGA COOPERATIVA ODONTOLOGICA,PR,2025,1,74079848.16
01367538000100,UNIODONTO MARINGA COOPERATIVA ODONTOLOGICA,PR,2025,2,118465044.64
01367538000100,UNIODONTO MARINGA COOPERATIVA ODONTOLOGICA,PR,2025,3,162598019.52
01371135000126,UNIMED VALE DO URUCUIA - COOPERATIVA DE TRABALHO MEDICO LTDA,MG,2025,1,148166456.0
01371135000126,UNIMED VALE DO URUCUIA - COOPERATIVA DE TRABALHO MEDICO LTDA,MG,2025,2,181693721.6
01371135000126,UNIMED VALE DO URUCUIA - COOPERATIVA DE TRABALHO MEDICO LTDA,MG,2025,3,204997288.8
01387625000110,DOCTOR CLIN OPERADORA DE PLANOS DE SAADE LTDA.,RS,2025,1,3545775243.52
01387625000110,DOCTOR CLIN OPERADORA DE PLANOS DE SAADE LTDA.,RS,2025,2,5487863323.84
01387625000110,DOCTOR CLIN OPERADORA DE PLANOS DE SAADE LTDA.,RS,2025,3,7662719919.36
01402285000150,DENTAL GOLD ASSISTANCIA ODONTOLAGICA LTDA.,PB,2025,1,107835144.96000001
01402285000150,DENTAL GOLD ASSISTANCIA ODONTOLAGICA LTDA.,PB,2025,2,151391814.08
01402285000150,DENTAL GOLD ASSISTANCIA ODONTOLAGICA LTDA.,PB,2025,3,184801285.12
01445199000124,UNIHOSP SAADE LTDA,SP,2025,1,1142399069.92
01445199000124,UNIHOSP SAADE LTDA,SP,2025,2,2063581771.68
01445199000124,UNIHOSP SAADE LTDA,SP,2025,3,3052874278.56
01476619000130,UNIMED GURUPI COOPERATIVA DE TRABALHO MADICO,TO,2025,1,943417952.5
01476619000130,UNIMED GURUPI COOPERATIVA DE TRABALHO MADICO,TO,2025,2,1139525525.58
01476619000130,UNIMED GURUPI COOPERATIVA DE TRABALHO MADICO,TO,2025,3,1393855070.86
01554266000149,UNIMED DE BRUSQUE COOPERATIVA DE TRABALHO MADICO,SC,2025,1,1624579624.8
01554266000149,UNIMED DE BRUSQUE COOPERATIVA DE TRABALHO MADICO,SC,2025,2,2304983365.6
01554266000149,UNIMED DE BRUSQUE COOPERATIVA DE TRABALHO MADICO,SC,2025,3,3003873071.52
01559455000104,UNIMED NORDESTE PAULISTA - FED. INTRAFEDERATIVA DAS COOP. MADICAS,SP,2025,1,2666148294.08
01559455000104,UNIMED NORDESTE PAULISTA - FED. INTRAFEDERATIVA DAS COOP. MADICAS,SP,2025,2,3490449427.2
01559455000104,UNIMED NORDESTE PAULISTA - FED. INTRAFEDERATIVA DAS COOP. MADICAS,SP,2025,3,4360582502.72
01569902000106,UNIMED CAAADOR COOPERATIVA DE TRABALHO MADICO DA REGIAO DO CONTESTADO,SC,2025,1,490487317.6
01569902000106,UNIMED CAAADOR COOPERATIVA DE TRABALHO MADICO DA REGIAO DO CONTESTADO,SC,2025,2,862039302.88
01569902000106,UNIMED CAAADOR COOPERATIVA DE TRABALHO MADICO DA REGIAO DO CONTESTADO,SC,2025,3,1214408915.36
01608379000180,UNIMED CENTRO OESTE PAULISTA - FEDERAAAO INTRAFEDERATIVA DAS COOPERATIVAS MADICAS,SP,2025,1,1912398921.28
01608379000180,UNIMED CENTRO OESTE PAULISTA - FEDERAAAO INTRAFEDERATIVA DAS COOPERATIVAS MADICAS,SP,2025,2,2851566597.7599998
01608379000180,UNIMED CENTRO OESTE PAULISTA - FEDERAAAO INTRAFEDERATIVA DAS COOPERATIVAS MADICAS,SP,2025,3,3887783828.48
01647867000104,UNIMED INTRAFEDERATIVA FEDERAAAO REGIONAL SUL DE MINAS,MG,2025,1,1085993344.8
01647867000104,UNIMED INTRAFEDERATIVA FEDERAAAO REGIONAL SUL DE MINAS,MG,2025,2,1215969986.8799999
01647867000104,UNIMED INTRAFEDERATIVA FEDERAAAO REGIONAL SUL DE MINAS,MG,2025,3,1402479115.2
01648339000161,VITA ASSISTANCIA A SAADE LTDA.,MG,2025,1,371825701.6
01648339000161,VITA ASSISTANCIA A SAADE LTDA.,MG,2025,2,634965044.8000001
01648339000161,VITA ASSISTANCIA A SAADE LTDA.,MG,2025,3,879674669.76
01659087000176,UNIMED VILHENA - COOPERATIVA DE TRABALHO MEDICO LTDA,RO,2025,1,950701618.72
01659087000176,UNIMED VILHENA - COOPERATIVA DE TRABALHO MEDICO LTDA,RO,2025,2,1331373603.84
01659087000176,UNIMED VILHENA - COOPERATIVA DE TRABALHO MEDICO LTDA,RO,2025,3,1809910632.64
01672007000112,SISTEMA PREVSAUDE DENTAL LTDA,CE,2025,1,66759037.76
01672007000112,SISTEMA PREVSAUDE DENTAL LTDA,CE,2025,2,76195012.32
01672007000112,SISTEMA PREVSAUDE DENTAL LTDA,CE,2025,3,86430825.44
01747987000175,EXTRAMED ADMINISTRAAAO E SERVIAOS MADICOS LTDA,PR,2025,1,351031265.76
01747987000175,EXTRAMED ADMINISTRAAAO E SERVIAOS MADICOS LTDA,PR,2025,2,425900579.68
01747987000175,EXTRAMED ADMINISTRAAAO E SERVIAOS MADICOS LTDA,PR,2025,3,525159659.52
01773319000112,UNIMED VALE DO PARAABA - FEDERAAAO INTRAFEDERATIVA DAS COOPERATIVAS MADICAS,SP,2025,1,218600365.12
01773319000112,UNIMED VALE DO PARAABA - FEDERAAAO INTRAFEDERATIVA DAS COOPERATIVAS MADICAS,SP,2025,2,248331109.12
01773319000112,UNIMED VALE DO PARAABA - FEDERAAAO INTRAFEDERATIVA DAS COOPERATIVAS MADICAS,SP,2025,3,247994468.64
01867792000169,NACIONAL ODONTO OPERADORA DE PLANOS ODONTOLAGICOS LTDA.,PE,2025,1,408312060.8
01867792000169,NACIONAL ODONTO OPERADORA DE PLANOS ODONTOLAGICOS LTDA.,PE,2025,2,631277740.72
01867792000169,NACIONAL ODONTO OPERADORA DE PLANOS ODONTOLAGICOS LTDA.,PE,2025,3,800434621.92
02009924000184,GAMA SAUDE LTDA.,SP,2025,1,5818005402.56
02009924000184,GAMA SAUDE LTDA.,SP,2025,2,5937692769.92
02009924000184,GAMA SAUDE LTDA.,SP,2025,3,6799257314.400001
02018620000183,UNIMED DE CORUMBA COOPERATIVA DE TRABALHO MADICO,MS,2025,1,316510554.88
02018620000183,UNIMED DE CORUMBA COOPERATIVA DE TRABALHO MADICO,MS,2025,2,404096895.84
02018620000183,UNIMED DE CORUMBA COOPERATIVA DE TRABALHO MADICO,MS,2025,3,507065735.36
02030246000131,ASSOCIAAAO BENEFICENTE DE ASSISTANCIA A SAADE DOS JUAZES DO TRABALHO DA 15AA REGIAO (ABAS 15),SP,2025,1,786568488.32
02030246000131,ASSOCIAAAO BENEFICENTE DE ASSISTANCIA A SAADE DOS JUAZES DO TRABALHO DA 15AA REGIAO (ABAS 15),SP,2025,2,1281198994.24
02030246000131,ASSOCIAAAO BENEFICENTE DE ASSISTANCIA A SAADE DOS JUAZES DO TRABALHO DA 15AA REGIAO (ABAS 15),SP,2025,3,1788815428.0
02041808000142,ADVANCE PLANOS DE SAADE LTDA,SP,2025,1,846678148.32
02041808000142,ADVANCE PLANOS DE SAADE LTDA,SP,2025,2,966619774.88
02041808000142,ADVANCE PLANOS DE SAADE LTDA,SP,2025,3,1090875310.8799999
02064028000118,UNIODONTO DE PINDAMONHANGABA COOP ODONTOLOGICA,SP,2025,1,24023372.64
02064028000118,UNIODONTO DE PINDAMONHANGABA COOP ODONTOLOGICA,SP,2025,2,55521313.28
02064028000118,UNIODONTO DE PINDAMONHANGABA COOP ODONTOLOGICA,SP,2025,3,73509014.4
02127779000136,LEADER ASSISTANCIA MADICA E HOSPITALAR LTDA.,SP,2025,1,780133047.52
02127779000136,LEADER ASSISTANCIA MADICA E HOSPITALAR LTDA.,SP,2025,2,1036829110.72
02127779000136,LEADER ASSISTANCIA MADICA E HOSPITALAR LTDA.,SP,2025,3,1309429703.2
02149799000108,UNIODONTO VALE HISTORICO COOPERATIVA ODONTOLOGICA,SP,2025,1,78170921.92
02149799000108,UNIODONTO VALE HISTORICO COOPERATIVA ODONTOLOGICA,SP,2025,2,119751296.64
02149799000108,UNIODONTO VALE HISTORICO COOPERATIVA ODONTOLOGICA,SP,2025,3,162859242.4
02156150000114,DENTALPAR ASSISTANCIA ODONTOLAGICA EMPRESARIAL LTDA.,SP,2025,1,188418004.8
02156150000114,DENTALPAR ASSISTANCIA ODONTOLAGICA EMPRESARIAL LTDA.,SP,2025,2,250965063.84
02156150000114,DENTALPAR ASSISTANCIA ODONTOLAGICA EMPRESARIAL LTDA.,SP,2025,3,324806196.15999997
02172353000102,CAIXA ASSISTENCIAL UNIVERSITARIA DO RIO GRANDE DO NORTE,RN,2025,1,547284028.0
02172353000102,CAIXA ASSISTENCIAL UNIVERSITARIA DO RIO GRANDE DO NORTE,RN,2025,2,937355470.4
02172353000102,CAIXA ASSISTENCIAL UNIVERSITARIA DO RIO GRANDE DO NORTE,RN,2025,3,1333833783.44
02192677000102,UNIMED MORRINHOS COOPERATIVA DE TRABALHO MEDICO,GO,2025,1,322604527.2
02192677000102,UNIMED MORRINHOS COOPERATIVA DE TRABALHO MEDICO,GO,2025,2,412003601.44
02192677000102,UNIMED MORRINHOS COOPERATIVA DE TRABALHO MEDICO,GO,2025,3,517301654.71999997
02220135000198,ASSOCIAAAO GOIANA DO MINISTARIO PABLICO,GO,2025,1,341343954.24
